Batch 23/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-two-source/apps/primary-advantage/tsconfig.json in 4905ms; RSS 348 MiB
Stage primary_extraction [24/133]: 5011ms; RSS 273 MiB
Stage schema_pass [24/133]: 184ms; RSS 287 MiB
Stage framework_pass [24/133]: 186ms; RSS 291 MiB
Stage string_literal_pass [24/133]: 209ms; RSS 304 MiB
Stage param_flow_pass [24/133]: 6ms; RSS 304 MiB
Stage route_pass [24/133]: 127ms; RSS 304 MiB
Batch 24/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-two-source/apps/primary-advantage/tsconfig.json in 6099ms; RSS 304 MiB
Stage primary_extraction [25/133]: 3856ms; RSS 314 MiB
Stage schema_pass [25/133]: 275ms; RSS 324 MiB
Stage framework_pass [25/133]: 296ms; RSS 335 MiB
Stage string_literal_pass [25/133]: 548ms; RSS 348 MiB
Stage param_flow_pass [25/133]: 17ms; RSS 348 MiB
Stage route_pass [25/133]: 198ms; RSS 348 MiB
Batch 25/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-two-source/apps/primary-advantage/tsconfig.json in 5787ms; RSS 349 MiB
Stage primary_extraction [26/133]: 1060ms; RSS 270 MiB
Stage schema_pass [26/133]: 40ms; RSS 276 MiB
Stage framework_pass [26/133]: 114ms; RSS 279 MiB
Stage string_literal_pass [26/133]: 29ms; RSS 280 MiB
Stage param_flow_pass [26/133]: 39ms; RSS 276 MiB
Stage route_pass [26/133]: 40ms; RSS 277 MiB
Batch 26/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-two-source/apps/primary-advantage/tsconfig.json in 1486ms; RSS 277 MiB
Stage primary_extraction [27/133]: 301ms; RSS 243 MiB
Stage schema_pass [27/133]: 37ms; RSS 244 MiB
Stage framework_pass [27/133]: 14ms; RSS 246 MiB
Stage string_literal_pass [27/133]: 10ms; RSS 247 MiB
Stage param_flow_pass [27/133]: 6ms; RSS 247 MiB
Stage route_pass [27/133]: 36ms; RSS 252 MiB
Batch 27/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-two-source/apps/primary-advantage/tsconfig.json in 640ms; RSS 252 MiB
Stage primary_extraction [28/133]: 1811ms; RSS 278 MiB
Stage schema_pass [28/133]: 96ms; RSS 285 MiB
Stage framework_pass [28/133]: 126ms; RSS 305 MiB
Stage string_literal_pass [28/133]: 105ms; RSS 307 MiB
Stage param_flow_pass [28/133]: 22ms; RSS 307 MiB
Stage route_pass [28/133]: 90ms; RSS 307 MiB
Batch 28/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-two-source/apps/primary-advantage/tsconfig.json in 2472ms; RSS 307 MiB
Stage primary_extraction [29/133]: 1424ms; RSS 276 MiB
Stage schema_pass [29/133]: 49ms; RSS 277 MiB
Stage framework_pass [29/133]: 123ms; RSS 292 MiB
Stage string_literal_pass [29/133]: 93ms; RSS 306 MiB
Stage param_flow_pass [29/133]: 14ms; RSS 306 MiB
Stage route_pass [29/133]: 121ms; RSS 309 MiB
Batch 29/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-two-source/apps/primary-advantage/tsconfig.json in 2092ms; RSS 309 MiB
Stage primary_extraction [30/133]: 53ms; RSS 288 MiB
Stage schema_pass [30/133]: 27ms; RSS 271 MiB
Stage framework_pass [30/133]: 2ms; RSS 270 MiB
Stage string_literal_pass [30/133]: 1ms; RSS 268 MiB
Stage param_flow_pass [30/133]: 1ms; RSS 268 MiB
Stage route_pass [30/133]: 4ms; RSS 266 MiB
Batch 30/133: 4 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-two-source/apps/primary-advantage/tsconfig.json in 109ms; RSS 266 MiB
Stage primary_extraction [31/133]: 684ms; RSS 262 MiB
Stage schema_pass [31/133]: 51ms; RSS 265 MiB
Stage framework_pass [31/133]: 38ms; RSS 270 MiB
Stage string_literal_pass [31/133]: 26ms; RSS 274 MiB
Stage param_flow_pass [31/133]: 6ms; RSS 274 MiB
Stage route_pass [31/133]: 106ms; RSS 285 MiB
Batch 31/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-two-source/apps/reading-advantage/tsconfig.json in 1238ms; RSS 285 MiB
Stage primary_extraction [32/133]: 1511ms; RSS 288 MiB
Stage schema_pass [32/133]: 191ms; RSS 291 MiB
Stage framework_pass [32/133]: 13ms; RSS 291 MiB
Stage string_literal_pass [32/133]: 14ms; RSS 291 MiB
Stage param_flow_pass [32/133]: 14ms; RSS 291 MiB
Stage route_pass [32/133]: 427ms; RSS 316 MiB
Batch 32/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-two-source/apps/reading-advantage/tsconfig.json in 3015ms; RSS 316 MiB
Stage primary_extraction [33/133]: 1349ms; RSS 297 MiB
Stage schema_pass [33/133]: 166ms; RSS 294 MiB
Stage framework_pass [33/133]: 125ms; RSS 294 MiB
Stage string_literal_pass [33/133]: 59ms; RSS 296 MiB
Stage param_flow_pass [33/133]: 26ms; RSS 297 MiB
Stage route_pass [33/133]: 226ms; RSS 309 MiB
Batch 33/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-two-source/apps/reading-advantage/tsconfig.json in 2352ms; RSS 309 MiB
Stage primary_extraction [34/133]: 946ms; RSS 259 MiB
Stage schema_pass [34/133]: 29ms; RSS 260 MiB
Stage framework_pass [34/133]: 83ms; RSS 268 MiB
Stage string_literal_pass [34/133]: 72ms; RSS 275 MiB
Stage param_flow_pass [34/133]: 9ms; RSS 276 MiB
Stage route_pass [34/133]: 81ms; RSS 283 MiB
Batch 34/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-two-source/apps/reading-advantage/tsconfig.json in 1451ms; RSS 283 MiB
Stage primary_extraction [35/133]: 915ms; RSS 270 MiB
Stage schema_pass [35/133]: 22ms; RSS 272 MiB
Stage framework_pass [35/133]: 98ms; RSS 276 MiB
Stage string_literal_pass [35/133]: 74ms; RSS 282 MiB
Stage param_flow_pass [35/133]: 4ms; RSS 282 MiB
Stage route_pass [35/133]: 58ms; RSS 290 MiB
