Stage route_pass [29/134]: 77ms; RSS 348 MiB
Batch 29/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-one-source/apps/primary-advantage/tsconfig.json in 1300ms; RSS 349 MiB
Stage primary_extraction [30/134]: 21ms; RSS 349 MiB
Stage schema_pass [30/134]: 13ms; RSS 349 MiB
Stage framework_pass [30/134]: 2ms; RSS 349 MiB
Stage string_literal_pass [30/134]: 1ms; RSS 349 MiB
Stage param_flow_pass [30/134]: 1ms; RSS 349 MiB
Stage route_pass [30/134]: 2ms; RSS 350 MiB
Batch 30/134: 4 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-one-source/apps/primary-advantage/tsconfig.json in 58ms; RSS 350 MiB
Stage primary_extraction [31/134]: 483ms; RSS 298 MiB
Stage schema_pass [31/134]: 42ms; RSS 299 MiB
Stage framework_pass [31/134]: 27ms; RSS 305 MiB
Stage string_literal_pass [31/134]: 22ms; RSS 308 MiB
Stage param_flow_pass [31/134]: 5ms; RSS 308 MiB
Stage route_pass [31/134]: 76ms; RSS 321 MiB
Batch 31/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-one-source/apps/reading-advantage/tsconfig.json in 787ms; RSS 321 MiB
Stage primary_extraction [32/134]: 475ms; RSS 328 MiB
Stage schema_pass [32/134]: 86ms; RSS 335 MiB
Stage framework_pass [32/134]: 8ms; RSS 335 MiB
Stage string_literal_pass [32/134]: 5ms; RSS 335 MiB
Stage param_flow_pass [32/134]: 5ms; RSS 329 MiB
Stage route_pass [32/134]: 97ms; RSS 349 MiB
Batch 32/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-one-source/apps/reading-advantage/tsconfig.json in 920ms; RSS 349 MiB
Stage primary_extraction [33/134]: 651ms; RSS 323 MiB
Stage schema_pass [33/134]: 71ms; RSS 331 MiB
Stage framework_pass [33/134]: 40ms; RSS 331 MiB
Stage string_literal_pass [33/134]: 29ms; RSS 332 MiB
Stage param_flow_pass [33/134]: 3ms; RSS 333 MiB
Stage route_pass [33/134]: 49ms; RSS 342 MiB
Batch 33/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-one-source/apps/reading-advantage/tsconfig.json in 908ms; RSS 342 MiB
