Stage primary_extraction [54/134]: 469ms; RSS 381 MiB
Stage schema_pass [54/134]: 31ms; RSS 386 MiB
Stage framework_pass [54/134]: 71ms; RSS 403 MiB
Stage string_literal_pass [54/134]: 53ms; RSS 416 MiB
Stage param_flow_pass [54/134]: 4ms; RSS 416 MiB
Stage route_pass [54/134]: 81ms; RSS 425 MiB
Batch 54/134: 32 files from /tmp/business-operations-r2-clean-audit-e6wuo16j/source/apps/reading-advantage/tsconfig.json in 801ms; RSS 425 MiB
Stage primary_extraction [55/134]: 439ms; RSS 374 MiB
Stage schema_pass [55/134]: 27ms; RSS 379 MiB
Stage framework_pass [55/134]: 37ms; RSS 386 MiB
Stage string_literal_pass [55/134]: 23ms; RSS 393 MiB
Stage param_flow_pass [55/134]: 4ms; RSS 393 MiB
Stage route_pass [55/134]: 55ms; RSS 408 MiB
