Stage string_literal_pass [38/133]: 41ms; RSS 302 MiB
Stage param_flow_pass [38/133]: 14ms; RSS 303 MiB
Stage route_pass [38/133]: 91ms; RSS 307 MiB
Batch 38/133: 32 files from /tmp/opencode/r2-clean-audit-glpaggik/source/apps/reading-advantage/tsconfig.json in 1960ms; RSS 307 MiB
Stage primary_extraction [39/133]: 330ms; RSS 300 MiB
Stage schema_pass [39/133]: 10ms; RSS 301 MiB
Stage framework_pass [39/133]: 11ms; RSS 301 MiB
Stage string_literal_pass [39/133]: 20ms; RSS 301 MiB
Stage param_flow_pass [39/133]: 10ms; RSS 301 MiB
Stage route_pass [39/133]: 26ms; RSS 302 MiB
Batch 39/133: 32 files from /tmp/opencode/r2-clean-audit-glpaggik/source/apps/reading-advantage/tsconfig.json in 569ms; RSS 302 MiB
Stage primary_extraction [40/133]: 829ms; RSS 309 MiB
Stage schema_pass [40/133]: 21ms; RSS 311 MiB
Stage framework_pass [40/133]: 24ms; RSS 313 MiB
Stage string_literal_pass [40/133]: 19ms; RSS 315 MiB
Stage param_flow_pass [40/133]: 7ms; RSS 316 MiB
Stage route_pass [40/133]: 114ms; RSS 321 MiB
Batch 40/133: 32 files from /tmp/opencode/r2-clean-audit-glpaggik/source/apps/reading-advantage/tsconfig.json in 1106ms; RSS 322 MiB
Stage primary_extraction [41/133]: 1027ms; RSS 321 MiB
Stage schema_pass [41/133]: 18ms; RSS 323 MiB
Stage framework_pass [41/133]: 53ms; RSS 326 MiB
Stage string_literal_pass [41/133]: 17ms; RSS 329 MiB
Stage param_flow_pass [41/133]: 20ms; RSS 329 MiB
Stage route_pass [41/133]: 84ms; RSS 333 MiB
Batch 41/133: 32 files from /tmp/opencode/r2-clean-audit-glpaggik/source/apps/reading-advantage/tsconfig.json in 1382ms; RSS 333 MiB
Stage primary_extraction [42/133]: 1928ms; RSS 362 MiB
Stage schema_pass [42/133]: 69ms; RSS 362 MiB
Stage framework_pass [42/133]: 147ms; RSS 379 MiB
Stage string_literal_pass [42/133]: 124ms; RSS 397 MiB
Stage param_flow_pass [42/133]: 7ms; RSS 398 MiB
Stage route_pass [42/133]: 248ms; RSS 406 MiB
Batch 42/133: 32 files from /tmp/opencode/r2-clean-audit-glpaggik/source/apps/reading-advantage/tsconfig.json in 2763ms; RSS 407 MiB
Stage primary_extraction [43/133]: 2313ms; RSS 366 MiB
Stage schema_pass [43/133]: 87ms; RSS 376 MiB
Stage framework_pass [43/133]: 329ms; RSS 408 MiB
Stage string_literal_pass [43/133]: 143ms; RSS 407 MiB
Stage param_flow_pass [43/133]: 7ms; RSS 407 MiB
Stage route_pass [43/133]: 137ms; RSS 409 MiB
Batch 43/133: 32 files from /tmp/opencode/r2-clean-audit-glpaggik/source/apps/reading-advantage/tsconfig.json in 3335ms; RSS 413 MiB
Stage primary_extraction [44/133]: 4181ms; RSS 372 MiB
Stage schema_pass [44/133]: 62ms; RSS 376 MiB
Stage framework_pass [44/133]: 272ms; RSS 405 MiB
Stage string_literal_pass [44/133]: 452ms; RSS 420 MiB
Stage param_flow_pass [44/133]: 40ms; RSS 420 MiB
Stage route_pass [44/133]: 325ms; RSS 420 MiB
Batch 44/133: 32 files from /tmp/opencode/r2-clean-audit-glpaggik/source/apps/reading-advantage/tsconfig.json in 5528ms; RSS 420 MiB
Stage primary_extraction [45/133]: 1788ms; RSS 354 MiB
Stage schema_pass [45/133]: 70ms; RSS 364 MiB
Stage framework_pass [45/133]: 352ms; RSS 377 MiB
Stage string_literal_pass [45/133]: 54ms; RSS 377 MiB
Stage param_flow_pass [45/133]: 8ms; RSS 377 MiB
Stage route_pass [45/133]: 112ms; RSS 377 MiB
Batch 45/133: 32 files from /tmp/opencode/r2-clean-audit-glpaggik/source/apps/reading-advantage/tsconfig.json in 2594ms; RSS 377 MiB
Stage primary_extraction [46/133]: 4607ms; RSS 381 MiB
Stage schema_pass [46/133]: 240ms; RSS 386 MiB
Stage framework_pass [46/133]: 372ms; RSS 417 MiB
Stage string_literal_pass [46/133]: 449ms; RSS 430 MiB
Stage param_flow_pass [46/133]: 103ms; RSS 430 MiB
Stage route_pass [46/133]: 191ms; RSS 430 MiB
Batch 46/133: 32 files from /tmp/opencode/r2-clean-audit-glpaggik/source/apps/reading-advantage/tsconfig.json in 6474ms; RSS 430 MiB
Stage primary_extraction [47/133]: 1893ms; RSS 354 MiB
Stage schema_pass [47/133]: 101ms; RSS 362 MiB
Stage framework_pass [47/133]: 307ms; RSS 373 MiB
Stage string_literal_pass [47/133]: 192ms; RSS 384 MiB
Stage param_flow_pass [47/133]: 17ms; RSS 384 MiB
Stage route_pass [47/133]: 147ms; RSS 385 MiB
Batch 47/133: 32 files from /tmp/opencode/r2-clean-audit-glpaggik/source/apps/reading-advantage/tsconfig.json in 3185ms; RSS 385 MiB
Stage primary_extraction [48/133]: 5888ms; RSS 395 MiB
Stage schema_pass [48/133]: 199ms; RSS 412 MiB
Stage framework_pass [48/133]: 562ms; RSS 429 MiB
Stage string_literal_pass [48/133]: 170ms; RSS 430 MiB
Stage param_flow_pass [48/133]: 13ms; RSS 430 MiB
Stage route_pass [48/133]: 528ms; RSS 448 MiB
Batch 48/133: 32 files from /tmp/opencode/r2-clean-audit-glpaggik/source/apps/reading-advantage/tsconfig.json in 7766ms; RSS 448 MiB
Stage primary_extraction [49/133]: 5098ms; RSS 399 MiB
Stage schema_pass [49/133]: 177ms; RSS 416 MiB
Stage framework_pass [49/133]: 925ms; RSS 436 MiB
Stage string_literal_pass [49/133]: 452ms; RSS 436 MiB
Stage param_flow_pass [49/133]: 19ms; RSS 436 MiB
Stage route_pass [49/133]: 538ms; RSS 454 MiB
Batch 49/133: 32 files from /tmp/opencode/r2-clean-audit-glpaggik/source/apps/reading-advantage/tsconfig.json in 8161ms; RSS 455 MiB
Stage primary_extraction [50/133]: 3164ms; RSS 397 MiB
Stage schema_pass [50/133]: 56ms; RSS 399 MiB
Stage framework_pass [50/133]: 272ms; RSS 421 MiB
Stage string_literal_pass [50/133]: 314ms; RSS 443 MiB
Stage param_flow_pass [50/133]: 68ms; RSS 442 MiB
Stage route_pass [50/133]: 558ms; RSS 448 MiB
Batch 50/133: 32 files from /tmp/opencode/r2-clean-audit-glpaggik/source/apps/reading-advantage/tsconfig.json in 5136ms; RSS 448 MiB
Stage primary_extraction [51/133]: 7110ms; RSS 399 MiB
Stage schema_pass [51/133]: 132ms; RSS 405 MiB
Stage framework_pass [51/133]: 842ms; RSS 441 MiB
Stage string_literal_pass [51/133]: 586ms; RSS 450 MiB
Stage param_flow_pass [51/133]: 11ms; RSS 450 MiB
Stage route_pass [51/133]: 118ms; RSS 450 MiB
Batch 51/133: 32 files from /tmp/opencode/r2-clean-audit-glpaggik/source/apps/reading-advantage/tsconfig.json in 9750ms; RSS 450 MiB
Stage primary_extraction [52/133]: 3135ms; RSS 386 MiB
Stage schema_pass [52/133]: 84ms; RSS 398 MiB
Stage framework_pass [52/133]: 423ms; RSS 417 MiB
Stage string_literal_pass [52/133]: 148ms; RSS 417 MiB
Stage param_flow_pass [52/133]: 13ms; RSS 417 MiB
Stage route_pass [52/133]: 229ms; RSS 416 MiB
Batch 52/133: 32 files from /tmp/opencode/r2-clean-audit-glpaggik/source/apps/reading-advantage/tsconfig.json in 4540ms; RSS 416 MiB
Stage primary_extraction [53/133]: 795ms; RSS 348 MiB
Stage schema_pass [53/133]: 49ms; RSS 350 MiB
Stage framework_pass [53/133]: 29ms; RSS 352 MiB
Stage string_literal_pass [53/133]: 19ms; RSS 353 MiB
Stage param_flow_pass [53/133]: 6ms; RSS 353 MiB
Stage route_pass [53/133]: 61ms; RSS 359 MiB
